item_number,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones,result_ABC_xlmv,result_ABC_gpt3,result_C_xlmv,result_C_gpt3,result_ACB_xlmv,result_ACB_gpt3
129,near,low,compositional,1,1,1,1,1,1
130,NA,low,compositional,1,1,1,1,1,1
131,near,low,compositional,0,1,1,1,0,1
132,near,high,compositional,1,0,0,0,1,0
133,near,high,compositional,1,0,0,0,1,1
134,NA,high,compositional,1,0,0,0,1,0
136,NA,high,compositional,0,0,0,0,0,0
137,NA,high,compositional,1,0,0,0,0,0
138,near,high,compositional,1,0,0,0,0,0
139,near,high,compositional,0,1,0,1,0,0
140,NA,high,compositional,0,1,0,1,0,1
143,NA,high,compositional,0,1,1,0,0,1
144,near,high,compositional,1,1,1,0,1,1
145,near,low,compositional,1,1,1,0,1,1
146,near,low,compositional,1,0,1,0,1,1
147,far,high,compositional,1,0,0,0,1,0
148,far,high,compositional,1,1,0,0,1,1
149,near,low,compositional,0,1,0,1,0,0
150,near,low,compositional,1,0,0,0,0,0
151,near,high,compositional,1,0,1,0,1,0
152,far,high,compositional,0,0,1,0,0,0
153,near,high,compositional,1,1,1,0,1,0
154,NA,low,compositional,1,1,0,1,0,1
155,NA,low,compositional,0,0,0,1,0,0
158,near,high,compositional,1,0,1,0,1,1
159,near,high,compositional,1,0,1,0,1,0
162,far,NA,compositional,0,0,0,0,0,0
163,far,NA,compositional,0,0,0,0,0,0
164,near,high,compositional,1,1,0,0,1,1
165,near,high,compositional,1,1,0,0,1,1
166,NA,high,compositional,0,0,0,1,0,0
167,NA,high,compositional,0,0,0,0,0,0
168,near,high,compositional,0,0,0,1,0,0
169,far,high,compositional,0,0,0,1,0,1
170,near,high,compositional,1,1,0,1,0,1
171,far,high,compositional,0,1,0,0,0,0
172,NA,high,compositional,1,0,1,0,0,0
173,NA,high,compositional,1,0,1,0,1,0
174,NA,high,compositional,1,0,1,0,1,0
175,far,high,compositional,0,0,1,1,1,1
176,near,high,compositional,1,0,1,0,1,1
177,NA,low,compositional,0,0,0,0,0,0
178,far,low,compositional,0,0,0,0,0,0
179,far,low,compositional,0,0,0,0,0,0
180,NA,low,compositional,0,0,1,0,0,0
181,far,low,compositional,0,0,1,0,0,0
182,near,low,compositional,1,0,0,0,1,0
183,near,low,compositional,0,0,0,0,0,0
188,near,high,compositional,1,0,0,0,0,0
189,far,high,compositional,1,0,0,0,0,0
190,far,high,compositional,0,0,0,0,0,0
191,NA,low,compositional,0,1,0,0,0,0
192,NA,low,compositional,0,1,0,0,0,0
193,near,low,compositional,0,1,0,0,0,1
194,near,low,compositional,0,1,1,0,0,1
195,far,low,compositional,1,1,1,0,1,1
196,near,low,compositional,1,1,1,0,0,1
197,far,high,compositional,0,0,0,0,0,0
198,far,high,compositional,0,0,0,0,0,0
201,NA,low,compositional,1,1,0,0,1,1
202,far,low,compositional,1,0,0,0,1,1
205,far,high,compositional,0,0,0,0,0,0
206,far,high,compositional,0,0,0,0,0,0
207,near,low,compositional,1,1,1,0,1,1
208,NA,low,compositional,1,1,1,0,1,1
209,far,low,compositional,1,1,1,0,1,1
210,NA,low,compositional,1,1,1,0,1,1
211,near,low,compositional,1,1,1,0,1,1
212,far,low,compositional,0,0,0,0,0,0
213,NA,low,compositional,0,0,0,0,0,0
217,far,low,compositional,0,1,0,1,0,1
218,NA,high,compositional,0,0,0,0,0,0
219,far,high,compositional,0,0,0,0,0,0
222,NA,high,compositional,0,0,0,0,0,0
223,far,high,compositional,0,0,0,0,0,0
230,NA,high,compositional,0,1,0,0,0,0
231,NA,high,compositional,0,0,0,0,0,0
238,near,high,compositional,0,0,0,0,0,0
239,NA,high,compositional,0,0,0,1,0,0
240,far,high,compositional,0,0,0,0,1,0
241,NA,high,compositional,0,0,0,0,0,0
242,far,high,compositional,0,0,0,1,0,0
243,far,high,compositional,0,1,0,0,0,0
244,far,high,compositional,1,0,0,0,1,0
245,NA,high,compositional,1,0,0,0,0,0
249,far,low,compositional,1,1,0,0,1,0
250,near,low,compositional,1,1,0,0,1,0
256,far,high,compositional,1,1,0,0,1,0
257,NA,high,compositional,0,0,0,0,1,0
258,far,high,compositional,0,1,0,0,0,1
259,far,high,compositional,0,1,0,0,1,0
263,NA,NA,categorical,1,1,1,1,0,0
264,far,NA,categorical,1,1,1,1,1,1
265,NA,low,categorical,1,1,1,0,1,0
266,NA,low,categorical,1,1,1,0,1,1
267,near,low,categorical,0,1,0,0,0,0
268,far,low,categorical,0,1,0,0,0,1
269,NA,low,categorical,1,1,1,0,1,1
270,near,low,categorical,1,1,1,1,1,1
271,NA,low,categorical,1,1,1,1,1,1
276,far,low,categorical,1,0,0,0,0,1
277,near,low,categorical,1,1,0,1,1,0
278,NA,low,categorical,1,1,1,0,1,0
279,NA,low,categorical,1,1,1,1,1,1
280,near,low,categorical,1,1,0,0,1,0
281,near,low,categorical,1,1,0,0,1,1
284,far,low,categorical,0,1,0,0,1,0
290,NA,low,categorical,1,1,0,1,1,1
291,NA,low,categorical,1,1,0,1,1,1
294,NA,low,categorical,1,1,1,1,1,0
295,NA,low,categorical,1,1,1,1,1,1
296,NA,high,categorical,0,0,0,0,0,1
297,near,high,categorical,0,0,0,0,0,0
298,NA,low,categorical,0,1,0,1,0,1
299,near,low,categorical,0,1,0,1,0,0
302,NA,low,categorical,0,1,0,1,0,1
303,NA,low,categorical,0,1,0,1,0,1
306,near,low,categorical,1,1,0,0,1,1
307,far,low,categorical,1,1,0,1,1,1
308,far,low,categorical,1,1,1,0,1,1
309,far,low,categorical,1,1,1,0,1,0
310,near,high,categorical,0,0,0,0,0,0
311,near,high,categorical,0,0,0,0,0,0
312,far,low,categorical,0,1,0,0,1,0
313,near,low,categorical,1,0,0,1,1,0
318,near,low,categorical,0,1,0,0,1,0
319,near,low,categorical,1,1,0,0,1,1
322,far,high,causal,0,0,0,0,0,0
323,near,high,causal,0,0,0,0,0,0
324,far,high,causal,1,0,0,0,1,1
325,NA,high,causal,1,0,0,1,0,1
326,far,high,causal,1,0,0,0,1,1
327,far,high,causal,1,1,0,1,0,1
328,near,low,causal,1,1,1,1,1,1
329,NA,low,causal,1,1,1,1,1,1
330,near,low,causal,1,1,0,1,1,1
331,near,low,causal,0,1,0,1,0,1
334,far,high,causal,0,0,0,0,0,0
335,NA,high,causal,0,0,0,0,1,0
336,near,high,causal,1,0,0,0,1,1
337,far,high,causal,1,1,0,0,1,0
338,near,low,causal,1,1,0,1,1,1
339,NA,low,causal,1,1,0,0,0,0
343,near,high,causal,1,1,0,0,1,1
344,NA,high,causal,1,1,0,0,0,1
345,far,high,NA,0,0,1,0,0,0
346,near,high,NA,0,0,1,0,0,0
349,near,high,categorical,1,1,0,0,1,1
350,near,high,categorical,1,1,0,0,1,1
355,near,high,categorical,0,0,0,0,0,0
356,near,high,categorical,0,0,0,0,0,0
357,far,high,compositional,0,0,0,0,0,0
358,NA,high,compositional,1,0,0,0,0,0
359,NA,low,compositional,1,1,0,1,1,1
361,far,low,categorical,1,1,0,1,1,1
362,near,low,categorical,1,1,0,0,1,1
363,far,low,categorical,0,0,0,0,0,0
364,near,low,categorical,0,1,0,0,0,1
365,near,low,categorical,0,1,0,0,0,1
366,far,low,categorical,0,1,0,0,0,1
369,near,high,categorical,1,1,1,1,1,1
370,near,high,categorical,1,1,1,1,1,1
372,far,high,categorical,1,0,0,1,0,0
373,near,low,categorical,1,1,1,0,1,1
374,NA,low,categorical,1,1,1,1,1,1
375,near,high,categorical,1,1,0,0,1,1
376,NA,high,causal,1,1,0,0,0,1
377,NA,high,categorical,0,0,0,0,0,0
378,NA,high,categorical,0,0,0,0,0,0
381,NA,high,categorical,0,0,0,1,0,0
382,NA,high,categorical,0,1,0,1,1,0
383,NA,high,categorical,0,0,0,1,0,0
386,far,low,categorical,1,1,1,0,1,1
387,near,low,categorical,1,1,1,0,1,1
388,near,low,categorical,1,1,1,0,1,1
389,far,low,categorical,1,1,1,1,1,1
391,NA,high,categorical,0,0,0,0,0,0
392,far,high,categorical,0,0,0,0,0,0
394,NA,high,categorical,1,0,1,0,1,0
395,near,high,categorical,1,1,1,0,1,0
396,NA,NA,NA,0,1,0,1,0,1
397,NA,NA,NA,1,1,0,1,1,0
399,near,high,categorical,1,1,0,0,1,1
400,NA,high,categorical,1,1,0,0,1,0
401,far,high,categorical,0,0,0,0,0,0
402,far,high,categorical,1,1,0,1,1,0
403,NA,low,categorical,1,0,1,0,1,0
404,NA,low,categorical,1,0,1,0,1,0
405,near,low,categorical,1,0,1,0,1,1
406,near,high,categorical,1,1,1,0,1,1
407,near,high,categorical,1,0,1,1,0,0
411,near,high,compositional,0,0,0,0,0,0
412,far,high,compositional,0,0,0,0,0,0
413,NA,high,compositional,0,1,0,1,0,1
414,NA,high,compositional,0,1,0,1,0,1
415,far,high,compositional,0,1,0,1,0,1
416,far,high,compositional,0,1,1,0,0,0
417,NA,high,compositional,1,1,1,0,1,1
424,NA,high,compositional,0,1,0,0,0,1
425,NA,high,compositional,0,0,0,0,0,1
426,near,high,compositional,0,1,0,1,0,1
427,NA,high,compositional,0,1,0,0,0,1
428,NA,high,compositional,1,0,0,0,1,0
429,far,high,compositional,0,0,0,0,0,0
430,NA,high,compositional,1,0,0,0,1,0
431,NA,high,compositional,0,0,0,0,0,1
432,NA,high,compositional,1,0,0,1,1,0
433,far,high,compositional,1,1,1,0,1,1
434,far,high,compositional,1,0,1,0,1,0
435,near,high,compositional,1,0,1,0,1,0
436,far,high,compositional,0,0,0,0,0,0
437,near,high,compositional,1,1,0,0,1,1
440,NA,high,compositional,1,1,0,0,1,1
441,far,high,compositional,1,0,0,0,1,0
442,far,low,compositional,0,1,0,0,0,0
443,far,low,compositional,1,0,0,0,1,1
444,NA,high,compositional,0,0,0,0,0,0
445,far,high,compositional,0,0,0,0,0,0
446,near,high,compositional,1,1,0,0,1,0
447,near,high,compositional,0,0,0,0,1,0
448,NA,high,compositional,1,1,0,0,0,1
449,NA,high,compositional,0,0,0,0,0,1
450,far,high,compositional,1,0,0,0,0,1
451,near,low,compositional,1,1,0,0,1,1
452,NA,low,compositional,1,0,0,0,1,0
453,far,low,compositional,0,0,0,0,0,0
454,near,low,compositional,1,0,0,0,0,0
455,far,high,compositional,1,1,1,0,1,0
456,far,high,compositional,1,1,1,0,0,0
457,near,high,compositional,1,1,1,0,1,1
458,near,high,compositional,0,0,0,0,0,0
462,NA,high,compositional,0,1,0,1,0,1
463,far,high,compositional,0,1,0,0,0,1
464,NA,low,compositional,1,1,0,1,1,1
465,near,low,compositional,1,1,0,0,1,1
466,far,low,compositional,1,1,0,1,1,1
471,near,high,compositional,1,1,0,1,1,1
472,near,high,compositional,1,1,0,1,1,1
475,near,low,NA,0,0,1,0,1,0
476,near,low,NA,1,0,1,0,1,0
477,near,high,NA,0,1,0,1,0,1
478,near,high,NA,0,1,0,0,0,0
479,near,high,NA,1,1,0,0,1,1
481,near,low,NA,1,0,1,0,1,0
488,near,high,NA,0,0,0,1,0,1
489,far,high,NA,0,0,0,1,0,0
490,NA,high,NA,0,1,0,1,0,0
491,NA,high,NA,1,0,0,0,1,0
492,NA,high,NA,0,0,0,0,0,0
496,near,NA,NA,1,1,1,1,1,1
502,NA,high,NA,0,0,0,0,0,0
503,NA,high,NA,0,1,0,0,0,0
507,far,low,NA,1,1,1,0,1,0
508,NA,low,NA,1,1,1,1,1,1
518,NA,high,NA,0,0,0,0,0,0
519,near,high,NA,0,0,0,0,0,0
525,near,low,NA,1,1,0,0,1,1
530,near,high,NA,1,1,0,0,1,0
531,near,high,NA,1,0,0,0,0,0
532,near,low,NA,1,1,0,0,1,1
533,NA,low,NA,1,1,0,1,1,1
534,near,low,NA,1,0,1,1,1,1
535,NA,low,NA,0,0,1,1,1,1
540,NA,high,compositional,1,0,0,0,0,1
542,NA,low,compositional,1,1,0,1,1,1
543,NA,low,compositional,1,1,0,1,0,1
544,far,low,compositional,0,1,0,0,0,1
545,far,low,compositional,0,1,0,0,0,1
546,far,high,compositional,1,0,0,0,0,0
547,far,high,compositional,1,0,0,0,1,1
549,near,high,compositional,1,1,1,1,1,1
551,near,high,compositional,1,1,1,1,1,1
552,NA,high,compositional,0,0,0,0,0,0
553,NA,high,compositional,0,1,0,1,0,1
556,far,high,compositional,0,1,0,1,0,0
557,far,high,compositional,1,0,0,1,0,0
558,far,high,compositional,1,1,0,0,0,1
559,NA,high,compositional,0,0,0,0,0,0
566,NA,high,compositional,1,1,0,1,0,1
567,far,high,compositional,0,1,0,0,0,1
572,NA,low,compositional,1,0,0,1,0,0
573,near,low,compositional,1,0,0,1,1,1
574,near,high,compositional,0,1,0,0,0,1
575,NA,high,compositional,1,1,0,0,0,0
576,NA,high,compositional,1,0,0,0,0,1
577,far,high,compositional,1,1,0,0,0,0
578,NA,high,compositional,0,1,0,0,0,1
579,near,high,compositional,1,1,0,0,1,1
580,near,high,compositional,1,1,0,1,1,1
581,near,low,compositional,1,1,1,1,0,1
583,NA,high,compositional,1,1,0,0,1,1
584,near,high,compositional,1,1,0,0,1,1
590,far,high,compositional,1,1,1,1,1,1
591,near,high,compositional,1,1,1,1,1,1
592,near,low,compositional,1,1,0,1,1,1
593,NA,low,compositional,1,1,0,1,0,1
594,NA,high,compositional,0,1,0,0,0,1
595,NA,high,compositional,0,1,0,0,0,1
598,NA,high,compositional,1,0,0,0,0,1
599,near,high,compositional,1,0,0,0,0,1
600,far,high,NA,0,0,0,0,0,0
601,NA,high,NA,0,0,0,0,0,0
604,far,high,NA,0,1,0,1,0,1
605,far,high,NA,0,1,0,1,0,1
606,NA,high,NA,1,0,0,0,1,1
607,NA,high,NA,1,1,0,0,1,1
608,NA,high,NA,1,0,0,0,1,1
609,NA,low,NA,1,0,0,0,1,0
610,near,low,NA,1,0,0,0,1,0
611,far,high,NA,0,0,0,0,0,0
612,NA,high,NA,0,0,0,0,0,1
616,near,high,NA,1,0,1,0,1,0
617,NA,high,NA,1,0,1,0,1,0
618,NA,high,NA,1,0,1,0,1,1
619,NA,high,NA,1,0,1,0,1,0
620,far,high,NA,1,0,0,0,1,0
621,near,high,NA,0,0,0,0,0,1
622,near,high,NA,1,0,0,0,1,0
623,NA,high,NA,1,0,0,0,1,0
624,far,low,NA,1,1,1,0,1,1
625,NA,low,NA,1,1,1,0,1,1
626,near,high,NA,0,0,0,0,0,0
627,near,high,NA,0,0,0,0,0,0
628,near,high,NA,1,0,0,0,1,0
629,NA,high,NA,1,0,0,0,1,1
630,NA,low,NA,0,1,0,1,0,1
631,far,low,NA,1,1,0,1,0,1
632,NA,high,NA,0,0,0,0,1,0
633,NA,high,NA,0,0,0,0,0,0
634,near,high,NA,0,0,0,0,0,0
635,NA,high,NA,1,0,1,0,0,0
636,far,high,NA,1,0,1,0,1,0
639,far,high,NA,1,0,0,0,1,0
640,far,high,NA,0,0,0,0,0,0
643,NA,low,NA,1,1,1,1,1,1
644,far,low,NA,1,1,1,1,0,1
645,far,low,NA,0,1,1,0,1,1
646,far,low,NA,1,1,1,1,1,1
647,near,low,NA,1,1,0,0,0,1
648,NA,low,NA,1,1,0,1,0,1
649,far,high,NA,0,0,0,1,0,1
650,NA,high,NA,1,1,0,1,1,1
651,NA,high,NA,1,1,0,0,0,1
652,near,high,NA,1,1,0,0,1,1
653,far,low,NA,0,0,1,0,1,0
654,far,low,NA,1,0,1,0,1,0
656,NA,low,NA,0,0,0,1,0,0
657,NA,low,NA,0,1,0,1,0,1
658,NA,high,NA,1,0,0,0,1,0
659,NA,high,NA,1,0,0,0,1,0
660,far,high,NA,1,0,0,0,1,0
661,far,high,NA,1,0,0,0,1,0
665,near,high,NA,0,0,0,0,0,0
666,near,high,NA,0,1,0,0,0,1
670,near,high,causal,1,1,0,0,1,1
671,far,low,causal,0,1,1,1,1,1
672,near,low,causal,1,1,1,1,1,1
675,far,high,causal,1,0,0,0,1,0
676,far,high,causal,0,0,0,0,0,0
677,near,high,causal,1,1,0,0,1,1
678,near,high,causal,0,0,0,0,0,1
683,NA,high,causal,0,1,0,1,0,1
684,NA,high,causal,0,1,0,1,0,1
685,NA,high,causal,1,0,0,0,0,0
686,near,high,causal,1,0,0,0,0,0
689,far,low,causal,0,0,0,0,0,0
700,near,high,causal,0,1,0,0,0,1
702,far,high,causal,1,1,0,0,0,1
703,far,high,causal,0,0,0,0,0,0
705,near,high,causal,0,1,0,0,0,1
706,far,high,causal,0,0,0,0,0,0
709,far,low,causal,1,1,1,1,1,1
710,far,low,causal,1,1,1,1,1,1
711,near,low,NA,0,1,0,0,1,1
712,near,low,NA,1,1,0,0,1,0
713,NA,low,NA,1,1,1,0,1,0
714,NA,low,NA,1,1,1,0,1,0
715,NA,low,NA,1,0,1,1,1,0
716,near,low,NA,1,1,1,0,1,0
717,near,low,NA,1,0,1,1,1,1
718,near,low,NA,0,1,1,0,0,1
719,NA,low,NA,1,1,1,1,1,0
721,NA,low,NA,0,0,0,0,0,0
722,near,low,NA,1,1,0,1,1,1
727,near,high,NA,0,0,0,0,0,0
728,far,high,NA,0,0,0,0,0,0
729,NA,high,NA,0,1,0,0,0,0
732,NA,low,NA,1,0,1,0,1,0
733,NA,low,NA,1,0,1,0,1,0
736,NA,low,NA,0,1,0,1,1,1
737,far,low,NA,1,1,0,1,1,1
738,far,low,NA,1,1,0,1,0,1
739,NA,low,NA,1,0,0,0,1,0
741,near,high,NA,1,1,0,1,1,0
742,near,high,NA,0,0,0,0,1,0
743,near,low,NA,0,0,0,1,0,0
744,NA,low,NA,0,0,0,1,0,0
747,far,low,NA,1,1,1,1,1,1
748,NA,low,NA,1,1,1,1,1,1
751,far,low,NA,1,1,0,0,1,0
752,near,low,NA,1,1,0,1,1,1
753,near,low,NA,1,1,1,1,1,1
754,far,low,NA,1,1,1,0,1,1
755,near,low,NA,1,1,1,1,1,1
756,NA,low,NA,1,0,0,0,0,0
757,NA,low,NA,0,0,0,0,0,0
762,near,low,NA,1,1,0,0,1,0
763,NA,low,NA,0,0,0,0,0,0
764,near,high,NA,0,1,1,1,0,1
765,near,high,NA,0,1,1,1,1,1
766,far,low,NA,1,1,1,1,1,1
767,near,low,NA,1,1,1,1,1,1
768,NA,low,NA,0,0,0,1,0,1
769,far,low,NA,0,1,0,1,1,1
770,NA,high,NA,1,0,1,1,1,1
771,near,high,NA,1,1,1,1,1,1
772,NA,high,NA,1,0,0,0,1,0
773,NA,high,NA,1,1,0,0,1,0
774,NA,low,NA,0,0,0,1,1,0
775,near,low,NA,1,0,0,0,1,0
776,NA,high,NA,1,1,1,0,1,1
777,NA,high,NA,1,1,1,1,1,1
783,NA,high,NA,1,1,0,0,1,1
784,near,high,NA,1,0,0,0,0,0
785,near,high,NA,0,1,0,1,1,1
786,near,high,NA,0,1,0,1,0,1
787,near,low,NA,0,0,0,0,0,0
788,near,low,NA,0,0,0,0,0,0
789,near,high,NA,0,0,0,0,0,0
790,near,high,NA,0,0,0,0,0,0
791,near,low,NA,1,1,1,0,1,1
792,NA,low,NA,1,1,1,0,1,1
793,NA,low,NA,1,1,1,1,1,1
794,far,high,NA,1,1,1,0,1,1
795,NA,high,NA,1,0,1,0,0,1
796,near,low,NA,1,1,0,1,1,1
797,far,low,NA,0,1,0,1,1,1
798,near,low,NA,1,1,0,1,1,1
799,NA,high,NA,0,0,0,0,0,0
800,near,high,NA,0,1,0,0,0,0
801,far,low,NA,1,1,1,1,1,1
802,NA,low,NA,1,1,1,1,1,1
803,NA,low,NA,1,1,1,0,1,0
804,near,low,NA,0,1,1,0,1,1
805,far,low,NA,1,0,1,0,1,0
806,NA,low,NA,1,0,1,0,1,1
807,NA,low,NA,1,1,1,0,1,1
808,near,low,NA,1,1,0,0,1,1
809,near,low,NA,1,1,0,1,1,1
810,near,low,NA,1,1,0,1,0,1
813,far,high,NA,0,0,0,0,0,0
814,far,high,NA,0,1,0,0,0,0
815,near,low,NA,1,0,1,0,1,0
816,near,low,NA,1,0,1,0,1,0
817,near,high,NA,1,1,0,0,1,1
818,NA,high,NA,0,1,0,0,1,1
819,near,NA,NA,0,0,0,0,0,0
820,near,NA,NA,1,0,0,0,1,0
821,near,NA,NA,1,1,0,0,1,1
822,far,NA,NA,0,1,0,1,1,1
823,near,low,NA,1,1,0,0,1,1
824,far,low,NA,1,1,0,0,1,1
825,near,low,NA,1,1,1,0,1,1
826,near,low,NA,1,1,1,0,1,0
827,near,low,NA,1,1,1,0,1,1
828,NA,low,NA,1,1,1,1,1,1
829,NA,high,NA,1,1,1,1,1,0
830,far,high,NA,1,1,1,1,1,1
831,far,high,NA,0,1,0,0,0,0
832,far,high,NA,1,1,0,0,0,1
833,far,low,NA,0,1,0,0,1,1
834,far,low,NA,0,1,0,0,1,0
835,far,high,NA,1,0,0,0,1,1
836,far,high,NA,1,0,0,0,1,0
837,NA,high,NA,1,0,0,0,1,1
840,far,high,NA,0,0,0,0,0,0
841,near,high,NA,1,1,0,0,1,0
842,NA,high,NA,0,1,0,1,0,1
843,NA,high,NA,0,0,0,1,0,1
846,far,low,NA,0,1,0,1,0,0
847,far,low,NA,0,0,0,1,0,1
848,far,high,NA,1,0,0,0,1,1
849,far,high,NA,0,0,0,0,0,0
851,far,high,NA,1,1,0,1,1,0
855,far,low,NA,0,1,0,0,0,1
856,far,low,NA,0,0,0,0,0,0
857,near,high,NA,1,1,0,1,0,1
858,NA,high,NA,0,1,0,1,0,1
862,far,high,NA,0,0,0,0,0,0
863,far,high,NA,0,1,0,0,0,0
865,near,high,NA,0,1,0,0,0,1
874,near,low,NA,1,0,1,1,0,0
875,NA,low,NA,0,1,1,0,0,0
880,near,high,NA,1,1,1,1,1,1
881,far,high,NA,1,1,1,1,1,1
884,far,low,NA,1,0,0,1,1,1
885,far,low,NA,1,1,0,1,1,1
886,NA,low,NA,1,1,0,1,1,1
887,NA,low,NA,0,1,0,0,0,0
891,near,low,NA,1,1,0,0,1,1
892,NA,low,NA,1,1,0,1,1,1
893,far,low,NA,0,1,0,1,0,1
894,far,low,NA,0,1,0,1,1,0
897,near,high,NA,0,0,0,1,0,0
898,NA,high,NA,0,1,0,1,0,1
909,NA,high,causal,1,1,0,0,0,1
910,NA,high,causal,1,0,0,0,0,0
911,near,high,causal,1,0,0,0,1,1
912,near,high,causal,1,0,0,0,0,1
920,far,low,causal,1,1,0,1,0,1
921,far,low,causal,1,1,0,1,0,1
926,NA,low,causal,1,1,1,1,1,1
927,near,low,causal,1,1,1,1,1,1
930,near,low,causal,1,1,0,1,0,1
931,far,low,causal,0,1,0,1,0,1
932,far,low,causal,1,1,0,1,0,1
935,NA,low,causal,1,1,0,0,0,0
936,far,low,causal,0,1,0,0,0,0
942,far,high,causal,1,1,0,1,0,1
943,near,NA,causal,1,0,0,1,1,0
944,far,NA,causal,1,0,0,0,1,0
945,NA,high,causal,1,1,1,1,0,1
946,near,high,causal,1,1,1,1,1,1
947,NA,low,causal,1,1,1,1,1,1
948,far,low,causal,1,1,1,1,1,1
949,near,high,causal,0,0,0,0,1,0
950,near,high,causal,0,0,0,0,0,0
955,far,low,causal,1,1,1,1,1,1
957,NA,high,causal,0,1,0,0,0,1
958,NA,high,causal,0,0,0,0,0,0
961,far,high,causal,1,1,0,0,0,1
962,far,high,causal,0,1,0,0,1,1
963,near,low,causal,1,1,0,1,0,1
964,NA,low,causal,0,1,0,1,0,1
967,far,high,causal,0,1,0,1,0,0
968,NA,high,causal,1,1,0,1,0,1
