row_number,item_number,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones,result_w2v,result_ft,result_mgpt,result_gpt2,result_bertje,result_robbert,result_xlmv,result_gpt3
344,367,NA,low,categorical,1,1,NA,NA,NA,NA,NA,1
345,368,NA,low,categorical,0,0,NA,NA,NA,NA,NA,1
355,379,near,low,categorical,1,1,NA,NA,NA,NA,NA,1
356,380,near,low,categorical,1,1,NA,NA,NA,NA,NA,1
360,384,near,high,categorical,0,0,NA,NA,NA,NA,NA,1
361,385,near,high,categorical,0,0,NA,NA,NA,NA,NA,1
382,408,near,high,categorical,NA,NA,NA,NA,0,NA,NA,1
390,418,NA,high,compositional,0,0,NA,NA,0,0,NA,1
391,419,far,high,compositional,0,0,NA,NA,0,0,NA,0
392,420,near,low,compositional,0,1,NA,0,0,0,NA,1
393,421,NA,low,compositional,0,0,NA,0,0,0,NA,1
394,422,far,high,compositional,0,0,NA,NA,0,0,NA,0
395,423,near,high,compositional,0,0,NA,NA,1,1,NA,0
410,438,far,high,compositional,0,0,NA,NA,NA,NA,NA,0
411,439,NA,high,compositional,0,0,NA,NA,NA,NA,NA,0
432,460,near,low,compositional,0,0,NA,NA,1,1,NA,0
433,461,near,low,compositional,0,0,NA,NA,1,1,NA,0
439,467,NA,high,compositional,0,0,NA,NA,NA,NA,NA,0
440,468,near,high,compositional,0,0,NA,NA,NA,NA,NA,0
441,469,NA,low,compositional,0,0,NA,NA,1,NA,NA,1
442,470,near,low,compositional,0,0,NA,NA,1,NA,NA,1
454,482,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1
455,483,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1
456,484,NA,high,0,0,0,NA,NA,0,NA,NA,0
457,485,near,high,0,0,0,NA,NA,0,NA,NA,1
458,486,far,high,0,1,0,NA,NA,0,NA,NA,1
459,487,far,high,0,1,0,NA,NA,0,NA,NA,0
465,493,NA,high,0,0,0,NA,NA,NA,NA,NA,1
466,494,near,high,0,0,0,NA,NA,NA,NA,NA,1
468,497,near,high,0,0,0,NA,NA,NA,NA,NA,0
469,498,far,high,0,0,0,NA,NA,NA,NA,NA,0
470,499,NA,high,0,0,0,NA,NA,NA,NA,NA,0
471,500,near,high,0,0,0,NA,NA,NA,NA,NA,0
472,501,far,high,0,1,1,NA,NA,NA,NA,NA,1
475,504,NA,low,0,1,1,NA,NA,1,NA,NA,0
476,505,NA,low,0,0,1,NA,NA,0,NA,NA,1
477,506,NA,low,0,1,1,NA,NA,0,NA,NA,0
480,509,far,low,0,0,1,NA,NA,NA,NA,NA,1
481,510,near,low,0,0,0,NA,NA,NA,NA,NA,0
482,511,near,low,0,1,1,NA,NA,1,NA,NA,0
483,512,NA,low,0,1,1,NA,NA,0,NA,NA,0
484,513,NA,low,0,1,1,NA,NA,0,NA,NA,0
485,514,NA,high,0,0,1,NA,NA,0,NA,NA,0
486,515,near,high,0,0,0,NA,NA,0,NA,NA,0
487,516,near,low,0,0,1,NA,NA,NA,NA,NA,1
488,517,near,low,0,1,0,NA,NA,NA,NA,NA,1
491,522,near,high,0,0,0,NA,NA,NA,NA,NA,0
492,523,near,high,0,1,1,NA,NA,NA,NA,NA,0
493,524,near,high,0,0,1,NA,NA,NA,NA,NA,1
495,527,NA,high,0,0,0,NA,NA,NA,NA,NA,1
496,528,NA,high,0,0,1,NA,NA,NA,NA,NA,1
497,529,NA,high,0,0,0,NA,NA,NA,NA,NA,1
504,536,near,low,0,0,0,NA,NA,NA,NA,NA,1
505,537,far,low,0,1,1,NA,NA,NA,NA,NA,1
506,538,far,low,compositional,0,0,NA,NA,NA,NA,NA,0
507,539,far,low,compositional,0,0,NA,NA,NA,NA,NA,1
519,554,far,low,compositional,0,1,NA,NA,0,1,NA,1
520,555,NA,low,compositional,0,1,NA,NA,1,1,NA,1
525,560,near,high,compositional,0,0,NA,NA,NA,1,NA,1
526,561,near,high,compositional,0,0,NA,NA,NA,1,NA,1
527,563,NA,NA,compositional,NA,NA,NA,NA,NA,NA,NA,0
528,564,far,high,compositional,0,0,NA,NA,NA,NA,NA,0
529,565,near,high,compositional,0,0,NA,NA,NA,NA,NA,1
532,568,far,low,compositional,1,0,NA,NA,NA,1,NA,0
533,569,far,low,compositional,1,0,NA,NA,NA,1,NA,1
534,570,NA,NA,compositional,NA,NA,NA,NA,NA,NA,NA,0
535,571,NA,NA,compositional,NA,NA,NA,NA,NA,NA,NA,0
548,586,NA,NA,compositional,NA,NA,NA,NA,NA,NA,NA,1
549,587,far,high,compositional,0,0,NA,NA,0,0,NA,0
550,588,far,high,compositional,0,0,NA,NA,0,0,NA,0
557,596,near,high,compositional,NA,NA,NA,NA,NA,1,NA,1
558,597,near,high,compositional,NA,NA,NA,NA,NA,1,NA,1
563,602,far,high,0,0,0,NA,NA,0,0,NA,0
564,603,far,high,0,0,0,NA,NA,0,0,NA,0
595,637,far,high,0,NA,NA,NA,NA,NA,NA,NA,0
596,638,NA,high,0,NA,NA,NA,NA,NA,NA,NA,1
599,641,NA,high,0,0,0,NA,NA,0,0,NA,0
600,642,NA,high,0,0,0,NA,NA,0,0,NA,0
619,662,near,low,0,0,1,NA,NA,NA,NA,NA,1
620,663,far,low,0,0,0,NA,NA,NA,NA,NA,0
621,664,far,low,0,0,1,NA,NA,NA,NA,NA,1
624,668,near,high,causal,0,0,NA,NA,1,1,NA,1
628,673,near,low,causal,0,0,NA,NA,NA,1,NA,1
629,674,near,low,causal,0,0,NA,NA,NA,1,NA,1
634,680,NA,NA,causal,NA,NA,NA,NA,NA,NA,NA,1
635,681,NA,NA,causal,NA,NA,NA,NA,NA,NA,NA,1
640,687,near,high,causal,0,0,NA,NA,NA,NA,NA,1
641,688,near,high,causal,0,1,NA,NA,NA,NA,NA,1
643,693,far,high,causal,0,0,NA,NA,0,0,NA,0
644,694,near,high,causal,0,0,NA,NA,0,0,NA,0
648,704,far,high,causal,NA,NA,NA,NA,0,NA,NA,0
664,724,far,low,0,0,1,NA,NA,NA,1,NA,1
665,725,near,low,0,0,0,NA,NA,0,NA,NA,1
666,726,near,low,0,1,1,NA,NA,0,NA,NA,0
670,730,near,high,0,0,0,NA,NA,NA,NA,NA,0
671,731,NA,high,0,0,0,NA,NA,NA,NA,NA,0
674,734,near,high,0,0,0,NA,NA,0,0,NA,1
675,735,near,high,0,0,0,NA,NA,1,1,NA,1
685,745,NA,low,0,1,1,NA,NA,0,0,NA,1
686,746,near,low,0,1,1,NA,NA,0,0,NA,1
689,749,NA,low,0,0,1,NA,NA,NA,1,NA,1
690,750,NA,low,0,1,1,NA,NA,NA,0,NA,1
698,758,far,low,0,1,1,NA,NA,0,NA,NA,1
699,759,near,low,0,1,1,NA,NA,1,NA,NA,1
700,760,far,low,0,1,1,NA,NA,NA,NA,NA,1
701,761,near,low,0,1,1,NA,NA,NA,NA,NA,1
718,778,far,high,0,0,0,NA,NA,NA,NA,NA,0
719,779,NA,high,0,0,0,NA,NA,NA,NA,NA,0
748,811,NA,low,0,1,1,NA,NA,0,NA,NA,0
749,812,near,low,0,1,0,NA,NA,0,NA,NA,1
792,872,far,low,0,0,0,NA,NA,1,NA,NA,1
793,873,NA,low,0,0,0,NA,NA,1,NA,NA,1
796,876,NA,high,0,NA,NA,NA,NA,NA,0,NA,1
797,877,NA,high,0,NA,NA,NA,NA,NA,0,NA,1
811,899,far,low,0,1,1,NA,NA,0,0,NA,0
812,906,NA,high,causal,0,0,NA,NA,NA,NA,NA,1
813,907,far,high,causal,0,0,NA,NA,NA,NA,NA,0
814,908,NA,high,causal,0,0,NA,NA,NA,NA,NA,1
819,913,near,high,causal,0,0,NA,NA,NA,NA,NA,0
820,914,NA,high,causal,0,0,NA,NA,NA,NA,NA,1
821,915,NA,low,causal,0,1,NA,NA,NA,NA,NA,1
822,916,near,low,causal,1,1,NA,NA,NA,NA,NA,0
823,917,near,low,causal,1,1,NA,NA,NA,NA,NA,0
824,918,NA,low,causal,1,1,NA,NA,NA,NA,NA,1
825,919,far,low,causal,1,1,NA,NA,NA,NA,NA,0
828,922,near,low,causal,0,0,NA,NA,NA,NA,NA,1
829,923,near,low,causal,0,0,NA,NA,NA,NA,NA,1
830,924,near,high,causal,0,0,NA,NA,0,NA,NA,0
831,925,NA,high,causal,0,0,NA,NA,0,NA,NA,0
834,928,far,high,causal,0,0,NA,NA,NA,1,NA,1
835,929,far,high,causal,0,0,NA,NA,NA,1,NA,1
839,933,far,high,causal,1,1,NA,NA,NA,NA,NA,1
840,934,NA,high,causal,0,1,NA,NA,NA,NA,NA,1
843,937,near,high,causal,0,0,NA,NA,NA,NA,NA,1
844,938,NA,high,causal,0,0,NA,NA,NA,NA,NA,1
845,939,near,high,causal,0,0,NA,0,0,0,NA,0
846,940,NA,high,causal,0,0,NA,0,0,0,NA,0
856,951,near,high,causal,0,0,NA,NA,NA,NA,NA,1
857,952,near,high,causal,0,0,NA,NA,NA,NA,NA,1
858,953,near,high,causal,0,0,NA,NA,NA,NA,NA,1
859,954,NA,high,causal,0,0,NA,NA,NA,NA,NA,1
863,959,near,high,causal,0,0,NA,NA,NA,NA,NA,1
864,960,near,high,causal,0,0,NA,NA,NA,NA,NA,1
869,965,near,low,causal,0,0,NA,NA,NA,NA,NA,1
870,966,far,low,causal,1,1,NA,NA,NA,NA,NA,0
