item_number,semantic_distance_near_far,distractor_salience_high_low,type_relation_jones,result_w2v,result_ft,result_mgpt,result_gpt2,result_bertje,result_robbert,result_xlmv,result_gpt3
79,near,low,categorical,0,1,NA,NA,0,1,1,1
80,far,low,categorical,1,1,NA,1,0,0,1,0
81,near,low,categorical,0,0,NA,1,1,1,1,1
82,NA,high,categorical,0,0,NA,NA,0,0,0,1
83,NA,high,categorical,0,0,NA,NA,0,0,0,0
84,NA,low,categorical,0,1,NA,NA,0,0,0,1
85,NA,low,categorical,0,1,NA,NA,0,0,0,1
86,NA,high,categorical,0,1,NA,NA,0,0,0,1
87,NA,high,categorical,0,0,NA,NA,0,1,1,1
88,far,high,categorical,0,0,NA,NA,0,0,0,0
89,far,high,categorical,0,0,NA,NA,0,1,1,1
92,far,high,categorical,0,0,NA,0,0,0,0,0
93,far,high,categorical,0,0,NA,0,0,1,0,0
94,NA,high,categorical,0,0,NA,NA,1,1,1,0
95,NA,high,categorical,0,0,NA,NA,0,0,0,0
98,far,high,categorical,0,0,NA,NA,1,0,0,0
99,NA,high,categorical,0,0,NA,NA,1,1,0,1
100,far,low,categorical,1,1,NA,NA,0,0,0,0
101,NA,low,categorical,0,0,NA,NA,0,0,1,0
102,NA,low,categorical,0,0,NA,NA,0,0,0,1
103,near,low,categorical,0,0,0,0,1,1,0,1
104,NA,low,categorical,1,1,0,0,1,0,0,0
105,near,low,categorical,0,0,0,1,1,1,1,1
106,far,high,categorical,0,0,NA,0,0,0,0,1
107,far,high,categorical,0,0,NA,0,0,0,0,0
108,far,high,categorical,0,0,NA,0,0,1,1,1
109,far,high,categorical,0,0,NA,0,0,1,1,1
110,far,high,categorical,0,0,0,1,0,0,0,0
111,far,high,categorical,1,0,0,1,0,0,0,0
117,far,high,categorical,0,0,1,0,0,0,0,0
118,far,high,categorical,1,1,0,0,0,0,0,0
119,far,low,categorical,0,1,NA,1,0,0,1,0
120,NA,low,categorical,1,1,NA,1,1,0,0,1
121,near,low,categorical,0,0,NA,1,1,1,1,1
122,NA,low,categorical,0,0,NA,1,0,1,0,1
123,far,low,categorical,0,0,NA,1,0,0,1,0
124,far,low,categorical,0,1,NA,1,0,0,0,1
125,near,low,categorical,0,0,NA,NA,1,1,1,1
126,far,low,categorical,1,1,NA,NA,0,1,0,1
127,NA,high,categorical,0,1,NA,NA,0,0,0,0
129,near,low,compositional,1,0,0,1,1,0,1,1
130,NA,low,compositional,0,0,0,1,1,0,1,1
131,near,low,compositional,1,0,0,1,1,0,0,1
132,near,high,compositional,0,0,1,1,1,1,1,0
133,near,high,compositional,0,0,1,1,1,1,1,0
134,NA,high,compositional,0,0,NA,0,1,1,1,0
136,NA,high,compositional,0,0,NA,0,1,0,0,0
137,NA,high,compositional,0,0,NA,1,0,0,1,0
138,near,high,compositional,0,0,NA,1,1,0,1,0
139,near,high,compositional,0,0,NA,0,1,1,0,1
140,NA,high,compositional,0,1,NA,0,0,0,0,1
143,NA,high,compositional,0,0,NA,0,1,0,0,1
144,near,high,compositional,0,0,NA,1,1,1,1,1
145,near,low,compositional,0,0,NA,1,1,1,1,1
146,near,low,compositional,0,0,NA,1,1,1,1,0
147,far,high,compositional,1,1,1,1,0,0,1,0
148,far,high,compositional,1,1,1,1,1,0,1,1
149,near,low,compositional,0,0,1,1,1,0,0,1
150,near,low,compositional,1,1,1,1,1,1,1,0
151,near,high,compositional,0,0,NA,NA,0,1,1,0
152,far,high,compositional,0,0,NA,NA,0,0,0,0
153,near,high,compositional,0,0,NA,NA,1,1,1,1
154,NA,low,compositional,0,1,NA,0,0,0,1,1
155,NA,low,compositional,0,1,NA,0,0,0,0,0
158,near,high,compositional,0,0,NA,1,1,1,1,0
159,near,high,compositional,0,0,NA,0,1,1,1,0
162,far,NA,compositional,NA,1,NA,NA,0,0,0,0
163,far,NA,compositional,NA,1,NA,NA,0,0,0,0
164,near,high,compositional,1,0,NA,1,NA,1,1,1
165,near,high,compositional,0,0,NA,1,NA,1,1,1
166,NA,high,compositional,0,0,NA,NA,0,0,0,0
167,NA,high,compositional,0,1,NA,NA,0,0,0,0
168,near,high,compositional,0,0,NA,NA,NA,0,0,0
169,far,high,compositional,0,0,NA,NA,NA,0,0,0
170,near,high,compositional,0,0,NA,1,0,0,1,1
171,far,high,compositional,0,0,NA,0,0,0,0,1
172,NA,high,compositional,0,1,NA,1,1,1,1,0
173,NA,high,compositional,0,1,NA,1,0,1,1,0
174,NA,high,compositional,0,0,NA,1,1,1,1,0
175,far,high,compositional,1,0,NA,1,0,0,0,0
176,near,high,compositional,0,0,NA,1,1,1,1,0
177,NA,low,compositional,1,1,1,1,1,0,0,0
178,far,low,compositional,1,1,1,1,0,0,0,0
179,far,low,compositional,1,1,1,1,1,1,0,0
180,NA,low,compositional,1,1,NA,NA,0,0,0,0
181,far,low,compositional,0,1,NA,NA,0,0,0,0
182,near,low,compositional,0,0,NA,1,1,1,1,0
183,near,low,compositional,1,1,NA,1,0,1,0,0
188,near,high,compositional,0,0,NA,1,1,1,1,0
189,far,high,compositional,0,0,NA,1,0,1,1,0
190,far,high,compositional,0,0,NA,1,1,0,0,0
191,NA,low,compositional,0,0,1,0,0,0,0,1
192,NA,low,compositional,1,0,1,0,0,0,0,1
193,near,low,compositional,0,0,1,0,0,1,0,1
194,near,low,compositional,0,0,NA,1,0,1,0,1
195,far,low,compositional,0,0,NA,1,1,1,1,1
196,near,low,compositional,1,1,NA,1,1,1,1,1
197,far,high,compositional,0,0,NA,NA,0,NA,0,0
198,far,high,compositional,0,0,NA,NA,0,NA,0,0
201,NA,low,compositional,1,1,NA,NA,0,0,1,1
202,far,low,compositional,0,1,NA,NA,0,0,1,0
205,far,high,compositional,0,1,0,0,NA,NA,0,0
206,far,high,compositional,0,0,0,0,NA,NA,0,0
207,near,low,compositional,1,0,NA,0,1,1,1,1
208,NA,low,compositional,1,1,NA,0,1,1,1,1
209,far,low,compositional,1,1,NA,NA,NA,1,1,1
210,NA,low,compositional,1,1,NA,NA,NA,1,1,1
211,near,low,compositional,0,1,NA,NA,NA,1,1,1
212,far,low,compositional,1,1,NA,NA,0,0,0,0
213,NA,low,compositional,1,1,NA,NA,0,0,0,0
217,far,low,compositional,1,1,NA,NA,0,0,0,1
218,NA,high,compositional,0,1,NA,0,0,0,0,0
219,far,high,compositional,0,1,NA,1,0,0,0,0
222,NA,high,compositional,0,0,NA,NA,0,0,0,0
223,far,high,compositional,1,1,NA,NA,0,0,0,0
230,NA,high,compositional,1,0,NA,0,1,1,0,1
231,NA,high,compositional,1,0,NA,0,0,1,0,0
238,near,high,compositional,0,0,NA,NA,0,0,0,0
239,NA,high,compositional,0,0,NA,NA,0,0,0,0
240,far,high,compositional,1,0,NA,0,0,1,0,0
241,NA,high,compositional,0,0,NA,0,0,0,0,0
242,far,high,compositional,1,1,NA,0,NA,0,0,0
243,far,high,compositional,0,0,NA,0,NA,0,0,1
244,far,high,compositional,0,0,0,1,1,1,1,0
245,NA,high,compositional,1,1,0,0,1,0,1,0
249,far,low,compositional,1,0,NA,NA,1,1,1,1
250,near,low,compositional,0,0,NA,NA,1,1,1,1
256,far,high,compositional,0,0,0,0,1,1,1,1
257,NA,high,compositional,0,0,0,1,1,0,0,0
258,far,high,compositional,0,1,NA,NA,0,0,0,1
259,far,high,compositional,0,1,NA,NA,0,0,0,1
263,NA,NA,categorical,NA,NA,NA,NA,0,0,1,1
264,far,NA,categorical,NA,NA,NA,NA,0,1,1,1
265,NA,low,categorical,1,1,0,NA,1,1,1,1
266,NA,low,categorical,1,0,0,NA,1,1,1,1
267,near,low,categorical,1,1,NA,NA,0,0,0,1
268,far,low,categorical,1,1,NA,NA,1,1,0,1
269,NA,low,categorical,1,1,NA,1,0,1,1,1
270,near,low,categorical,0,0,NA,1,1,1,1,1
271,NA,low,categorical,0,1,NA,1,1,1,1,1
276,far,low,categorical,0,1,NA,NA,0,1,1,0
277,near,low,categorical,0,0,NA,NA,0,1,1,1
278,NA,low,categorical,1,1,NA,1,1,1,1,1
279,NA,low,categorical,1,1,NA,1,1,1,1,1
280,near,low,categorical,0,0,NA,0,0,0,1,1
281,near,low,categorical,0,0,NA,0,0,0,1,1
284,far,low,categorical,1,1,NA,NA,0,0,0,1
290,NA,low,categorical,1,1,NA,NA,NA,1,1,1
291,NA,low,categorical,1,1,NA,NA,NA,1,1,1
294,NA,low,categorical,0,0,NA,0,1,1,1,1
295,NA,low,categorical,1,1,NA,0,1,1,1,1
296,NA,high,categorical,0,0,0,0,0,0,0,0
297,near,high,categorical,0,1,0,0,0,0,0,0
298,NA,low,categorical,0,1,NA,NA,NA,0,0,1
299,near,low,categorical,1,1,NA,NA,NA,1,0,1
302,NA,low,categorical,1,1,NA,NA,0,0,0,1
303,NA,low,categorical,0,1,NA,NA,0,0,0,1
306,near,low,categorical,1,0,NA,1,1,1,1,1
307,far,low,categorical,1,0,NA,1,1,1,1,1
308,far,low,categorical,1,1,NA,1,1,1,1,1
309,far,low,categorical,1,1,NA,1,1,1,1,1
310,near,high,categorical,0,0,1,0,1,0,0,0
311,near,high,categorical,0,0,1,0,0,0,0,0
312,far,low,categorical,1,0,NA,NA,0,1,0,1
313,near,low,categorical,0,0,NA,NA,1,1,1,0
318,near,low,categorical,0,0,NA,NA,NA,0,0,1
319,near,low,categorical,0,0,NA,NA,NA,0,1,1
322,far,high,causal,0,0,NA,0,0,1,0,0
323,near,high,causal,0,0,NA,0,0,0,0,0
324,far,high,causal,0,0,NA,0,1,1,1,0
325,NA,high,causal,0,0,NA,1,1,1,1,0
326,far,high,causal,0,0,NA,1,1,1,1,0
327,far,high,causal,0,0,NA,1,1,1,1,1
328,near,low,causal,0,0,0,0,1,1,1,1
329,NA,low,causal,1,1,0,0,1,1,1,1
330,near,low,causal,0,0,NA,NA,1,1,1,1
331,near,low,causal,0,0,NA,NA,0,0,0,1
334,far,high,causal,0,0,0,0,0,0,0,0
335,NA,high,causal,0,0,1,0,1,0,0,0
336,near,high,causal,0,0,NA,1,1,1,1,0
337,far,high,causal,0,0,NA,1,1,1,1,1
338,near,low,causal,0,0,NA,0,0,1,1,1
339,NA,low,causal,1,1,NA,0,0,1,1,1
343,near,high,causal,0,1,NA,NA,1,1,1,1
344,NA,high,causal,0,1,NA,NA,1,1,1,1
345,far,high,0,0,0,NA,NA,1,1,0,0
346,near,high,0,0,0,NA,NA,0,1,0,0
349,near,high,categorical,0,0,0,1,0,0,1,1
350,near,high,categorical,0,0,0,1,1,1,1,1
355,near,high,categorical,0,1,0,NA,NA,1,0,0
356,near,high,categorical,1,1,0,NA,NA,0,0,0
357,far,high,compositional,0,0,NA,NA,NA,0,0,0
358,NA,high,compositional,0,0,NA,NA,NA,0,1,0
359,NA,low,compositional,0,1,NA,1,1,1,1,1
361,far,low,categorical,0,0,NA,0,1,1,1,1
362,near,low,categorical,0,0,NA,0,1,1,1,1
363,far,low,categorical,1,1,NA,NA,0,0,0,0
364,near,low,categorical,1,0,NA,NA,0,0,0,1
365,near,low,categorical,0,0,NA,NA,0,0,0,1
366,far,low,categorical,0,0,NA,NA,1,1,0,1
369,near,high,categorical,0,0,NA,NA,1,1,1,1
370,near,high,categorical,0,0,NA,NA,1,1,1,1
372,far,high,categorical,0,1,NA,NA,0,0,1,0
373,near,low,categorical,1,1,NA,1,1,1,1,1
374,NA,low,categorical,0,0,NA,1,1,1,1,1
375,near,high,categorical,0,0,NA,NA,1,1,1,1
376,NA,high,causal,0,0,NA,NA,1,1,1,1
377,NA,high,categorical,0,0,NA,0,0,0,0,0
378,NA,high,categorical,1,1,NA,0,0,0,0,0
381,NA,high,categorical,1,1,NA,0,0,0,0,0
382,NA,high,categorical,0,0,NA,0,0,0,0,1
383,NA,high,categorical,0,1,NA,0,0,0,0,0
386,far,low,categorical,0,1,NA,1,1,0,1,1
387,near,low,categorical,0,1,NA,0,0,0,1,1
388,near,low,categorical,0,0,NA,1,1,1,1,1
389,far,low,categorical,1,1,NA,0,1,1,1,1
391,NA,high,categorical,0,0,NA,NA,0,0,0,0
392,far,high,categorical,0,0,NA,NA,0,0,0,0
394,NA,high,categorical,0,0,0,0,1,1,1,0
395,near,high,categorical,0,0,0,0,0,0,1,1
396,NA,NA,NA,1,0,NA,NA,0,0,0,1
397,NA,NA,NA,0,0,NA,NA,1,1,1,1
399,near,high,categorical,0,0,NA,NA,1,1,1,1
400,NA,high,categorical,0,0,NA,NA,0,1,1,1
401,far,high,categorical,1,1,NA,NA,0,0,0,0
402,far,high,categorical,0,0,NA,NA,0,1,1,1
403,NA,low,categorical,1,1,NA,NA,1,1,1,0
404,NA,low,categorical,1,1,NA,NA,1,1,1,0
405,near,low,categorical,0,0,NA,NA,1,1,1,0
406,near,high,categorical,0,0,1,1,1,1,1,1
407,near,high,categorical,1,1,1,1,0,0,1,0
411,near,high,compositional,0,0,NA,NA,0,0,0,0
412,far,high,compositional,0,0,NA,NA,0,0,0,0
413,NA,high,compositional,0,0,NA,0,0,0,0,1
414,NA,high,compositional,0,0,NA,0,0,0,0,1
415,far,high,compositional,0,0,NA,0,0,0,0,1
416,far,high,compositional,0,0,NA,1,1,1,0,1
417,NA,high,compositional,0,0,NA,0,1,1,1,1
424,NA,high,compositional,0,0,NA,0,1,0,0,1
425,NA,high,compositional,0,0,NA,0,1,0,0,0
426,near,high,compositional,0,0,NA,NA,1,1,0,1
427,NA,high,compositional,0,0,NA,NA,0,0,0,1
428,NA,high,compositional,0,0,NA,NA,1,1,1,0
429,far,high,compositional,0,0,NA,NA,1,0,0,0
430,NA,high,compositional,0,0,NA,NA,1,1,1,0
431,NA,high,compositional,0,0,NA,NA,0,0,0,0
432,NA,high,compositional,0,0,NA,NA,0,0,1,0
433,far,high,compositional,0,0,NA,1,1,1,1,1
434,far,high,compositional,0,0,NA,1,1,0,1,0
435,near,high,compositional,0,0,NA,1,1,1,1,0
436,far,high,compositional,0,0,1,1,0,0,0,0
437,near,high,compositional,0,0,1,1,1,1,1,1
440,NA,high,compositional,0,0,0,1,1,1,1,1
441,far,high,compositional,0,0,0,1,1,1,1,0
442,far,low,compositional,0,0,NA,NA,0,0,0,1
443,far,low,compositional,0,0,NA,NA,0,1,1,0
444,NA,high,compositional,0,0,NA,0,0,0,0,0
445,far,high,compositional,0,0,NA,0,0,0,0,0
446,near,high,compositional,0,0,NA,NA,1,1,1,1
447,near,high,compositional,0,0,NA,NA,0,1,0,0
448,NA,high,compositional,0,0,NA,NA,NA,1,1,1
449,NA,high,compositional,0,0,NA,NA,NA,1,0,0
450,far,high,compositional,0,0,NA,NA,NA,1,1,0
451,near,low,compositional,0,0,NA,0,1,1,1,1
452,NA,low,compositional,0,0,NA,0,1,1,1,0
453,far,low,compositional,0,0,NA,NA,0,0,0,0
454,near,low,compositional,0,0,NA,NA,1,1,1,0
455,far,high,compositional,0,0,NA,0,0,0,1,1
456,far,high,compositional,0,0,NA,0,0,0,1,1
457,near,high,compositional,0,0,NA,0,1,1,1,1
458,near,high,compositional,0,0,NA,0,0,0,0,0
462,NA,high,compositional,0,0,NA,0,0,0,0,1
463,far,high,compositional,0,0,NA,0,1,0,0,1
464,NA,low,compositional,0,0,NA,NA,1,1,1,1
465,near,low,compositional,0,0,NA,NA,1,1,1,1
466,far,low,compositional,1,0,NA,NA,0,1,1,1
471,near,high,compositional,0,0,NA,NA,0,1,1,1
472,near,high,compositional,0,0,NA,NA,0,0,1,1
475,near,low,0,0,0,NA,NA,0,0,0,0
476,near,low,0,0,0,NA,NA,0,1,1,0
477,near,high,0,0,0,NA,NA,0,0,0,1
478,near,high,0,1,1,NA,NA,0,0,0,1
479,near,high,0,0,0,NA,NA,0,0,1,1
481,near,low,0,0,0,NA,0,1,1,1,0
488,near,high,0,0,0,0,1,1,0,0,0
489,far,high,0,0,1,1,1,0,0,0,0
490,NA,high,0,1,0,1,0,1,1,0,1
491,NA,high,0,0,0,NA,1,1,0,1,0
492,NA,high,0,1,0,NA,1,0,0,0,0
496,near,NA,0,NA,NA,NA,NA,NA,1,1,1
502,NA,high,0,0,1,NA,NA,0,0,0,0
503,NA,high,0,0,0,NA,NA,1,0,0,1
507,far,low,0,0,1,NA,NA,0,1,1,1
508,NA,low,0,1,1,NA,NA,0,0,1,1
518,NA,high,0,NA,NA,NA,NA,0,0,0,0
519,near,high,0,NA,NA,NA,NA,0,0,0,0
525,near,low,0,0,0,NA,NA,1,1,1,1
530,near,high,0,0,0,NA,1,1,1,1,1
531,near,high,0,0,0,NA,0,1,1,1,0
532,near,low,0,0,1,0,1,1,1,1,1
533,NA,low,0,0,1,1,1,1,1,1,1
534,near,low,0,0,0,NA,NA,1,1,1,0
535,NA,low,0,0,0,NA,NA,1,0,0,0
540,NA,high,compositional,0,0,NA,NA,1,1,1,0
542,NA,low,compositional,1,0,NA,NA,1,1,1,1
543,NA,low,compositional,1,1,NA,NA,1,1,1,1
544,far,low,compositional,1,1,NA,1,1,1,0,1
545,far,low,compositional,1,1,NA,0,1,1,0,1
546,far,high,compositional,1,0,NA,1,1,1,1,0
547,far,high,compositional,0,0,NA,1,1,1,1,0
549,near,high,compositional,0,0,NA,NA,1,1,1,1
551,near,high,compositional,0,0,NA,0,1,1,1,1
552,NA,high,compositional,0,0,NA,0,0,1,0,0
553,NA,high,compositional,0,0,NA,0,1,1,0,1
556,far,high,compositional,0,0,NA,0,0,0,0,1
557,far,high,compositional,0,0,NA,0,0,0,1,0
558,far,high,compositional,0,0,NA,NA,0,1,1,1
559,NA,high,compositional,0,0,NA,NA,0,1,0,0
566,NA,high,compositional,1,1,NA,NA,0,1,1,1
567,far,high,compositional,0,0,NA,NA,0,0,0,1
572,NA,low,compositional,0,0,NA,0,1,0,1,0
573,near,low,compositional,0,0,NA,0,1,1,1,0
574,near,high,compositional,0,1,NA,NA,1,0,0,1
575,NA,high,compositional,0,0,NA,NA,1,1,1,1
576,NA,high,compositional,0,1,NA,0,NA,1,1,0
577,far,high,compositional,1,1,NA,0,NA,0,1,1
578,NA,high,compositional,0,1,NA,0,NA,0,0,1
579,near,high,compositional,0,0,NA,0,1,1,1,1
580,near,high,compositional,0,0,NA,0,1,1,1,1
581,near,low,compositional,0,0,NA,1,1,1,1,1
583,NA,high,compositional,0,0,NA,0,1,1,1,1
584,near,high,compositional,0,0,NA,0,1,1,1,1
590,far,high,compositional,0,1,NA,1,1,1,1,1
591,near,high,compositional,0,0,NA,1,1,1,1,1
592,near,low,compositional,0,0,NA,0,0,1,1,1
593,NA,low,compositional,0,0,NA,0,0,1,1,1
594,NA,high,compositional,0,0,NA,1,1,1,0,1
595,NA,high,compositional,0,0,NA,0,0,0,0,1
598,NA,high,compositional,0,0,NA,NA,0,1,1,0
599,near,high,compositional,0,0,NA,NA,0,1,1,0
600,far,high,0,0,0,NA,0,1,1,0,0
601,NA,high,0,0,0,NA,0,0,1,0,0
604,far,high,0,0,0,NA,NA,0,0,0,1
605,far,high,0,1,1,NA,NA,0,0,0,1
606,NA,high,0,0,0,NA,0,1,1,1,0
607,NA,high,0,1,1,NA,0,1,1,1,1
608,NA,high,0,0,1,NA,0,1,1,1,0
609,NA,low,0,1,1,0,1,1,1,1,0
610,near,low,0,0,0,0,1,1,1,1,0
611,far,high,0,0,0,NA,NA,0,0,0,0
612,NA,high,0,0,0,NA,NA,0,0,0,0
616,near,high,0,0,0,NA,NA,NA,1,1,0
617,NA,high,0,0,0,NA,NA,NA,1,1,0
618,NA,high,0,0,0,NA,1,NA,1,1,0
619,NA,high,0,0,0,NA,1,NA,1,1,0
620,far,high,0,0,0,NA,0,1,1,1,0
621,near,high,0,0,0,NA,0,1,1,0,0
622,near,high,0,0,0,0,1,1,1,1,0
623,NA,high,0,0,0,0,1,1,0,1,0
624,far,low,0,0,1,1,1,1,1,1,1
625,NA,low,0,0,1,1,1,1,1,1,1
626,near,high,0,0,0,1,1,0,0,0,0
627,near,high,0,0,0,1,1,1,1,0,0
628,near,high,0,0,0,NA,NA,1,1,1,0
629,NA,high,0,0,0,NA,NA,1,1,1,0
630,NA,low,0,1,1,NA,NA,0,0,0,1
631,far,low,0,1,1,NA,NA,1,1,1,1
632,NA,high,0,0,0,NA,1,0,0,0,0
633,NA,high,0,0,1,NA,0,0,0,0,0
634,near,high,0,0,0,NA,1,0,0,0,0
635,NA,high,0,0,0,0,0,NA,0,1,0
636,far,high,0,0,0,0,1,NA,1,1,0
639,far,high,0,0,0,NA,1,0,1,1,0
640,far,high,0,0,1,NA,0,0,1,0,0
643,NA,low,0,0,0,NA,0,1,1,1,1
644,far,low,0,0,1,NA,0,1,1,1,1
645,far,low,0,1,1,NA,NA,1,1,0,1
646,far,low,0,1,1,NA,NA,1,1,1,1
647,near,low,0,0,0,NA,0,1,1,1,1
648,NA,low,0,1,0,NA,0,0,1,1,1
649,far,high,0,0,0,NA,0,0,0,0,0
650,NA,high,0,0,0,NA,0,1,1,1,1
651,NA,high,0,0,0,NA,1,1,1,1,1
652,near,high,0,0,0,NA,0,1,1,1,1
653,far,low,0,1,1,NA,NA,NA,1,0,0
654,far,low,0,1,1,NA,NA,NA,1,1,0
656,NA,low,0,0,0,NA,NA,0,0,0,0
657,NA,low,0,1,1,NA,NA,0,1,0,1
658,NA,high,0,0,0,NA,1,1,1,1,0
659,NA,high,0,0,0,NA,1,1,1,1,0
660,far,high,0,0,0,NA,NA,1,1,1,0
661,far,high,0,0,0,NA,NA,1,1,1,0
665,near,high,0,0,0,NA,0,1,0,0,0
666,near,high,0,0,0,NA,0,0,0,0,1
670,near,high,causal,0,0,NA,0,1,1,1,1
671,far,low,causal,1,1,NA,NA,0,0,0,1
672,near,low,causal,0,0,NA,NA,0,1,1,1
675,far,high,causal,0,0,NA,1,0,0,1,0
676,far,high,causal,0,0,NA,1,0,0,0,0
677,near,high,causal,0,0,NA,0,0,1,1,1
678,near,high,causal,0,0,NA,0,0,1,0,0
683,NA,high,causal,0,0,NA,NA,0,0,0,1
684,NA,high,causal,0,0,NA,NA,0,0,0,1
685,NA,high,causal,0,0,NA,0,1,0,1,0
686,near,high,causal,0,0,NA,0,1,0,1,0
689,far,low,causal,1,1,NA,NA,1,0,0,0
700,near,high,causal,0,0,NA,0,0,0,0,1
702,far,high,causal,0,0,NA,NA,0,0,1,1
703,far,high,causal,0,0,NA,NA,0,0,0,0
705,near,high,causal,0,0,NA,NA,1,1,0,1
706,far,high,causal,0,0,NA,NA,0,1,0,0
709,far,low,causal,1,0,NA,NA,NA,1,1,1
710,far,low,causal,0,0,NA,NA,NA,1,1,1
711,near,low,0,0,0,NA,1,1,0,0,1
712,near,low,0,1,1,NA,1,1,0,1,1
713,NA,low,0,1,1,NA,0,0,0,1,1
714,NA,low,0,1,1,NA,0,0,0,1,1
715,NA,low,0,0,1,NA,NA,1,1,1,0
716,near,low,0,0,0,NA,NA,1,1,1,1
717,near,low,0,0,0,0,0,1,1,1,0
718,near,low,0,0,0,0,0,0,0,0,1
719,NA,low,0,0,1,NA,0,1,0,1,1
721,NA,low,0,1,1,NA,NA,0,0,0,0
722,near,low,0,1,0,NA,NA,0,0,1,1
727,near,high,0,0,0,NA,NA,0,0,0,0
728,far,high,0,1,0,NA,NA,0,0,0,0
729,NA,high,0,0,0,NA,NA,0,1,0,1
732,NA,low,0,1,0,NA,0,1,1,1,0
733,NA,low,0,1,1,NA,0,1,1,1,0
736,NA,low,0,1,0,NA,0,0,0,0,1
737,far,low,0,0,1,NA,0,0,0,1,1
738,far,low,0,1,1,NA,0,0,0,1,1
739,NA,low,0,0,0,NA,1,1,0,1,0
741,near,high,0,0,0,NA,NA,1,1,1,1
742,near,high,0,0,0,NA,NA,0,0,0,0
743,near,low,0,0,0,NA,0,0,0,0,0
744,NA,low,0,1,1,NA,0,0,0,0,0
747,far,low,0,1,1,NA,NA,0,0,1,1
748,NA,low,0,0,0,NA,NA,0,1,1,1
751,far,low,0,1,1,NA,0,1,1,1,1
752,near,low,0,0,0,NA,1,1,1,1,1
753,near,low,0,1,1,NA,0,0,1,1,1
754,far,low,0,1,1,NA,0,0,1,1,1
755,near,low,0,0,0,NA,0,1,1,1,1
756,NA,low,0,1,0,NA,NA,0,0,1,0
757,NA,low,0,0,0,NA,NA,0,0,0,0
762,near,low,0,1,1,1,0,1,1,1,1
763,NA,low,0,1,0,1,0,0,0,0,0
764,near,high,0,0,0,0,0,NA,1,0,1
765,near,high,0,0,0,0,0,NA,1,0,1
766,far,low,0,1,1,NA,1,1,1,1,1
767,near,low,0,0,0,NA,1,1,1,1,1
768,NA,low,0,1,1,NA,NA,0,0,0,0
769,far,low,0,1,1,NA,NA,0,0,0,1
770,NA,high,0,0,0,0,1,1,1,1,0
771,near,high,0,0,0,0,1,1,1,1,1
772,NA,high,0,0,0,NA,0,1,0,1,0
773,NA,high,0,0,0,NA,0,1,0,1,1
774,NA,low,0,1,1,NA,0,1,1,0,0
775,near,low,0,1,1,NA,0,1,1,1,0
776,NA,high,0,0,0,0,0,1,1,1,1
777,NA,high,0,0,0,0,0,1,1,1,1
783,NA,high,0,0,0,1,1,1,1,1,1
784,near,high,0,0,0,1,1,1,1,1,0
